,city,country,lat,lon,temp,humidity,cloudiness,windiness,datetime
142,Gari,RU,59.4307,62.3497,260.65,88,5,4.91,1615678416
143,Thompson,CA,55.7435,-97.8558,265.15,49,20,5.14,1615677993
144,Port Keats,AU,-14.25,129.55,302.6,73,97,0.89,1615678416
145,Ribeira Grande,PT,38.5167,-28.7,289.54,85,80,12.06,1615678200
146,Nishihara,JP,26.1842,127.7558,290.88,63,75,3.09,1615678417
147,Busselton,AU,-33.65,115.3333,283.41,96,0,5.32,1615678169
148,Teknāf,BD,20.8624,92.3058,296.2,65,0,1.65,1615678417
149,Cochrane,CA,51.1834,-114.4687,286.03,32,20,7.2,1615678184
150,Tazovsky,RU,67.4667,78.7,247.41,80,100,5.14,1615678418
151,Yenagoa,NG,4.9247,6.2642,299.23,87,100,1.97,1615678206
152,Hastings,GB,50.8552,0.5729,276.94,72,62,2.24,1615678419
153,Dawlatabad,AF,36.4141,64.9053,269.17,88,97,3.27,1615678419
154,Jamestown,US,42.097,-79.2353,274.48,34,1,3.79,1615678138
155,Tigre,AR,-34.426,-58.5796,295.75,60,0,2.57,1615678187
156,Butaritari,KI,3.0707,172.7902,300.08,80,77,5.67,1615678115
157,Laas,IT,46.6166,10.7002,277.1,80,75,1.54,1615678101
158,Fortuna,US,40.5982,-124.1573,284.09,71,1,6.69,1615678261
159,Englewood,US,39.6478,-104.9878,272.79,93,90,4.63,1615678253
160,Vila Franca do Campo,PT,37.7167,-25.4333,288.15,94,75,7.72,1615678420
161,Dāmghān,IR,36.1683,54.348,270.46,58,0,0.81,1615678420
162,Madingou,CG,-4.1536,13.55,296.66,98,81,0.9,1615678421
163,Kumul,CN,42.8,93.45,281.58,36,1,2.19,1615678421
164,Sorrento,IT,40.626,14.3744,284.0,76,0,2.06,1615678421
165,Lata,PT,40.1629,-8.3327,282.27,90,1,1.44,1615678422
166,Ponta do Sol,PT,32.6667,-17.1,285.34,72,99,0.45,1615678176
167,Ucluelet,CA,48.9329,-125.5528,281.72,71,90,6.69,1615678244
